ds,t,yhat
2025-11-01,31,5453049.153909678
2026-05-01,32,5557678.633164112
2026-11-01,33,5662308.112418547
2027-05-01,34,5766937.591672983
2027-11-01,35,5871567.070927419
2028-05-01,36,5976196.5501818545
2028-11-01,37,6080826.02943629
2029-05-01,38,6185455.508690725
2029-11-01,39,6290084.98794516
2030-05-01,40,6394714.467199596
2030-11-01,41,6499343.946454031
2031-05-01,42,6603973.425708467
2031-11-01,43,6708602.904962902
2032-05-01,44,6813232.384217338
2032-11-01,45,6917861.863471773
2033-05-01,46,7022491.342726208
2033-11-01,47,7127120.821980644
2034-05-01,48,7231750.30123508
2034-11-01,49,7336379.780489515
2035-05-01,50,7441009.25974395
2035-11-01,51,7545638.738998385
2036-05-01,52,7650268.218252821
2036-11-01,53,7754897.697507257
2037-05-01,54,7859527.176761691
2037-11-01,55,7964156.656016127
2038-05-01,56,8068786.135270563
2038-11-01,57,8173415.614524998
2039-05-01,58,8278045.0937794335
2039-11-01,59,8382674.573033869
2040-05-01,60,8487304.052288305
