cell_id,score,biomasa_10km,dist_gasoducto,dist_carretera,pendiente_media,pts_carretera,pts_suelo,dist_nucleos,red_natura,cluster,purin_bruto_t_anio,purin_mov_t_anio,biometano_Nm3h,biometano_año_m3,capex_total_€,capex_total_M€,opex_fijo_€,coste_feedstock_€,opex_variable_€,amortizacion_anual_€,costes_totales_€,ingreso_pesimista_€,margen_pesimista_€,margen_pesimista_M€,ingreso_base_€,margen_base_€,margen_base_M€,ingreso_optimista_€,margen_optimista_€,margen_optimista_M€,proporcion_biomasa,stock_proyectado_15a,viable,viable_pred,margen_pred_€,margen_pred_M€
998,73.48,207638.0,1310.6431060121433,1969.0237038395112,9.1550732421875,4,3.0,2975.17331960388,0,0.0,330174.0,238551.0,544.6,4771013.0,3116374.0,3.12,847327.0,811073.0,572522.0,207758.0,2438680.0,3058753.0,620073.0,0.62,3774405.0,1335725.0,1.34,4490057.0,2051377.0,2.05,0.04005876525441632,339991.0,0,0,1324064.5615829118,1.32
999,73.99,201640.0,1732.7468551802442,2099.752813910091,5.938169555664063,4,3.0,2718.8213302116005,0,0.0,320322.0,231433.0,528.4,4628655.0,3161751.0,3.16,848235.0,786872.0,555439.0,210783.0,2401329.0,2974050.0,572721.0,0.57,3668348.0,1267019.0,1.27,4362646.0,1961317.0,1.96,0.038901595208490285,330170.0,0,0,1291101.2863665188,1.29
1462,71.94,201633.0,3540.024837104085,2910.836953722551,6.7194580078125,4,3.0,2942.0143365390895,0,0.0,349193.0,252292.0,576.0,5045833.0,3942049.0,3.94,863841.0,857793.0,605500.0,262803.0,2589937.0,3222271.0,632334.0,0.63,3979146.0,1389209.0,1.39,4736021.0,2146084.0,2.15,0.03890024472660941,330158.0,0,0,1328127.0969649337,1.33
1464,72.41,204222.0,3581.1752151626197,3410.4490249274786,4.803216552734375,4,3.0,3437.6117762515155,0,0.0,360873.0,260730.0,595.3,5214609.0,4050727.0,4.05,866015.0,886482.0,625753.0,270048.0,2648298.0,3322692.0,674394.0,0.67,4104884.0,1456586.0,1.46,4887075.0,2238777.0,2.24,0.03939973009654981,334397.0,0,0,1365175.6242155738,1.37
1465,71.35,208718.0,4080.7637209433506,3454.264169776492,7.124970092773437,4,3.0,3398.9077041596443,0,0.0,342878.0,247729.0,565.6,4954588.0,4052190.0,4.05,866044.0,842279.0,594551.0,270146.0,2573020.0,3167980.0,594960.0,0.59,3911168.0,1338148.0,1.34,4654356.0,2081336.0,2.08,0.04026712531603688,341759.0,0,0,1371900.2281761405,1.37
1466,70.32,205697.0,4580.442027865848,3455.7220142708034,8.5173779296875,4,3.0,3417.2413711532868,0,0.0,347771.0,251265.0,573.7,5025292.0,4242450.0,4.24,869849.0,854301.0,603035.0,282830.0,2610015.0,3210049.0,600034.0,0.6,3963843.0,1353828.0,1.35,4717636.0,2107621.0,2.11,0.03968429592144826,336813.0,0,0,1318901.7169279258,1.32
1467,70.21,202906.0,4624.447085498523,3946.916237074361,7.341422119140625,4,3.0,3914.9677088675785,0,0.0,321645.0,232388.0,530.6,4647767.0,4040169.0,4.04,865803.0,790119.0,557732.0,269345.0,2482999.0,2985421.0,502422.0,0.5,3682586.0,1199587.0,1.2,4379751.0,1896752.0,1.9,0.0391458395029455,332243.0,0,0,1253845.6100805947,1.25
1490,69.57,200906.0,4721.289286043778,4440.0766800863485,7.492778930664063,4,3.0,4413.208100036766,0,0.0,318360.0,230015.0,525.1,4600298.0,4042128.0,4.04,865843.0,782051.0,552036.0,269475.0,2469405.0,2957177.0,487772.0,0.49,3647222.0,1177817.0,1.18,4337267.0,1867862.0,1.87,0.0387599875369815,328968.0,0,0,1187781.4163580008,1.19
1666,64.74,257763.0,9964.588896906489,5993.263462159299,5.399758911132812,2,3.0,5300.020017107387,0,1.0,403003.0,291170.0,664.8,5823400.0,6313235.0,6.31,911265.0,989978.0,698808.0,420882.0,3020933.0,3684923.0,663990.0,0.66,4558433.0,1537500.0,1.54,5431943.0,2411010.0,2.41,0.04972918015138902,422067.0,0,0,1388990.3429625304,1.39
1758,61.73,268533.0,8371.881450903886,8397.720954662449,11.17204345703125,2,3.0,7438.948270866091,0,1.0,380944.0,275232.0,628.4,5504642.0,5653484.0,5.65,898070.0,935789.0,660557.0,376899.0,2871315.0,3495262.0,623947.0,0.62,4320958.0,1449643.0,1.45,5146655.0,2275340.0,2.28,0.05180699298810515,439702.0,0,0,1401234.4869094791,1.4
1764,64.16,261366.0,9466.16820347102,7102.496350015628,5.530137329101563,2,3.0,6340.015174699569,0,1.0,388861.0,280952.0,641.4,5619041.0,6047066.0,6.05,905941.0,955237.0,674285.0,403138.0,2938601.0,3563329.0,624728.0,0.62,4406186.0,1467585.0,1.47,5249042.0,2310441.0,2.31,0.05042429246807316,427966.0,0,0,1413930.0123874242,1.41
1765,64.82,250248.0,9854.693683682488,6689.5680207501655,2.956423034667969,2,3.0,6005.728308384996,0,1.0,380586.0,274973.0,627.8,5499468.0,6095374.0,6.1,906907.0,934908.0,659936.0,406358.0,2908109.0,3492183.0,584074.0,0.58,4317104.0,1408995.0,1.41,5142024.0,2233915.0,2.23,0.04827934138927929,409761.0,0,0,1338426.2100136299,1.34
1766,63.49,267325.0,9088.547370927876,7525.864655097403,7.49847412109375,2,3.0,6691.288879242085,0,1.0,385510.0,278531.0,635.9,5570623.0,5906144.0,5.91,903123.0,947005.0,668475.0,393743.0,2912346.0,3534521.0,622175.0,0.62,4370114.0,1457768.0,1.46,5205708.0,2293362.0,2.29,0.05157393840066289,437724.0,0,0,1389812.9938732537,1.39
1768,62.58,267315.0,9430.286112905864,7795.932771604365,8.680025634765625,2,3.0,7046.86700695652,0,1.0,382227.0,276159.0,630.5,5523179.0,5981585.0,5.98,904632.0,938941.0,662781.0,398772.0,2905126.0,3506292.0,601166.0,0.6,4334768.0,1429642.0,1.43,5163245.0,2258119.0,2.26,0.051572009140833076,437707.0,0,0,1392920.1627044892,1.39
1769,63.79,261356.0,9794.740594526786,7387.924856252457,5.35565673828125,2,3.0,6711.3980875838815,0,1.0,385578.0,278580.0,636.0,5571596.0,6118557.0,6.12,907371.0,947172.0,668592.0,407904.0,2931039.0,3535100.0,604061.0,0.6,4370839.0,1439800.0,1.44,5206578.0,2275539.0,2.28,0.050422363208243344,427950.0,0,0,1415258.3354095733,1.42
1774,62.79,251493.0,7897.127127538062,9515.591445622813,4.7878506469726565,2,3.0,8531.523756075598,0,1.0,373759.0,270041.0,616.5,5400821.0,5451799.0,5.45,894036.0,918139.0,648099.0,363453.0,2823727.0,3433488.0,609761.0,0.61,4243612.0,1419885.0,1.42,5053735.0,2230008.0,2.23,0.04851953423809188,411800.0,0,0,1365612.8755123296,1.37
